,location,bath,price,BHK,total_sqft_new
9330,7th Phase JP Nagar,2.0,77.47,2,1050.0
9332,7th Phase JP Nagar,2.0,80.0,2,1270.0
9393,7th Phase JP Nagar,3.0,122.0,3,1680.0
9765,7th Phase JP Nagar,2.0,85.0,2,1130.0
10253,7th Phase JP Nagar,3.0,112.0,3,1680.0
10525,7th Phase JP Nagar,3.0,150.0,3,2095.0
10667,7th Phase JP Nagar,3.0,145.0,3,1976.0
10826,7th Phase JP Nagar,2.0,110.0,3,1600.0
10900,7th Phase JP Nagar,3.0,118.0,3,1765.0
11022,7th Phase JP Nagar,2.0,88.0,3,1275.0
11181,7th Phase JP Nagar,2.0,102.0,3,1450.0
11465,7th Phase JP Nagar,2.0,110.0,3,1575.0
11706,7th Phase JP Nagar,1.0,47.0,1,750.0
12052,7th Phase JP Nagar,1.0,60.0,1,1000.0
12395,7th Phase JP Nagar,2.0,92.0,3,1680.0
12538,7th Phase JP Nagar,2.0,102.0,3,1430.0
13182,7th Phase JP Nagar,3.0,90.0,3,1420.0
13234,7th Phase JP Nagar,2.0,108.0,2,1530.0
137,8th Phase JP Nagar,2.0,54.005,2,1073.5
849,8th Phase JP Nagar,3.0,43.5,3,1240.0
1737,8th Phase JP Nagar,2.0,42.47,2,1062.0
2389,8th Phase JP Nagar,2.0,43.5,3,1230.0
2723,8th Phase JP Nagar,3.0,73.31,3,1455.0
2983,8th Phase JP Nagar,2.0,43.91,2,1098.0
3196,8th Phase JP Nagar,3.0,80.0,3,1800.0
3286,8th Phase JP Nagar,4.0,130.0,4,2700.0
4185,8th Phase JP Nagar,2.0,38.0,2,1080.0
4883,8th Phase JP Nagar,2.0,42.47,2,1062.0
6227,8th Phase JP Nagar,4.0,92.0,4,2100.0
6299,8th Phase JP Nagar,2.0,39.33,2,1035.0
6347,8th Phase JP Nagar,2.0,40.9,2,909.0
6769,8th Phase JP Nagar,3.0,72.02,3,1431.5
6784,8th Phase JP Nagar,4.0,90.0,3,1900.0
7929,8th Phase JP Nagar,2.0,43.55,2,1089.0
8167,8th Phase JP Nagar,2.0,65.0,3,1605.0
8524,8th Phase JP Nagar,2.0,83.0,3,1504.0
8685,8th Phase JP Nagar,4.0,115.0,4,2600.0
8804,8th Phase JP Nagar,2.0,54.71,3,1368.0
8950,8th Phase JP Nagar,2.0,43.55,2,1089.0
9786,8th Phase JP Nagar,2.0,48.95,3,1224.0
10027,8th Phase JP Nagar,2.0,62.0,2,1513.0
10241,8th Phase JP Nagar,2.0,59.0,2,1298.0
10289,8th Phase JP Nagar,2.0,44.0,2,1006.0
11005,8th Phase JP Nagar,2.0,59.0,2,1245.0
11494,8th Phase JP Nagar,2.0,80.0,2,1510.0
11507,8th Phase JP Nagar,3.0,165.0,3,3300.0
11783,8th Phase JP Nagar,5.0,75.0,5,1730.0
11820,8th Phase JP Nagar,2.0,51.83,3,1296.0
12417,8th Phase JP Nagar,3.0,45.0,3,1275.0
12730,8th Phase JP Nagar,2.0,48.0,2,1046.0
12930,8th Phase JP Nagar,2.0,50.75,3,1269.0
13242,8th Phase JP Nagar,2.0,55.0,3,1500.0
294,9th Phase JP Nagar,2.0,50.0,2,1005.0
1699,9th Phase JP Nagar,2.0,85.0,3,1890.0
2145,9th Phase JP Nagar,2.0,45.0,2,1035.0
2611,9th Phase JP Nagar,2.0,56.0,2,1164.0
2800,9th Phase JP Nagar,2.0,42.0,2,1005.0
3259,9th Phase JP Nagar,2.0,50.0,2,1127.0
4603,9th Phase JP Nagar,2.0,43.0,2,1005.0
4677,9th Phase JP Nagar,2.0,37.0,2,835.0
5249,9th Phase JP Nagar,2.0,27.0,2,660.0
6121,9th Phase JP Nagar,2.0,71.0,2,1466.0
6174,9th Phase JP Nagar,2.0,93.0,3,1890.0
6712,9th Phase JP Nagar,2.0,80.0,2,1480.0
8788,9th Phase JP Nagar,2.0,52.36,2,1073.0
8974,9th Phase JP Nagar,2.0,88.0,3,1719.3
9435,9th Phase JP Nagar,3.0,88.0,3,1780.0
9882,9th Phase JP Nagar,2.0,58.0,3,1300.0
10323,9th Phase JP Nagar,3.0,65.0,3,1571.0
10548,9th Phase JP Nagar,4.0,80.0,4,1900.0
10638,9th Phase JP Nagar,2.0,45.0,2,890.0
13123,9th Phase JP Nagar,2.0,69.0,2,1331.95
3384,AECS Layout,2.0,65.0,2,1199.0
3898,AECS Layout,2.0,55.0,2,1080.0
8024,AECS Layout,2.0,60.0,2,1308.0
11858,AECS Layout,3.0,90.0,3,2000.0
698,Abbigere,2.0,40.39,2,985.0
2007,Abbigere,2.0,30.0,1,765.0
2757,Abbigere,2.0,35.0,2,880.0
2904,Abbigere,2.0,32.54,2,795.0
2941,Abbigere,2.0,39.59,2,1005.0
5282,Abbigere,2.0,45.0,3,1260.0
5503,Abbigere,2.0,41.82,2,1020.0
8819,Abbigere,2.0,40.39,2,985.0
9442,Abbigere,2.0,32.54,2,795.0
9460,Abbigere,2.0,46.33,2,1130.0
10196,Abbigere,1.0,32.6,2,795.0
11367,Abbigere,2.0,38.92,2,985.0
12831,Abbigere,2.0,41.0,2,1000.0
12922,Abbigere,2.0,40.8,2,995.0
13026,Abbigere,2.0,40.8,2,1020.0
468,Akshaya Nagar,2.0,54.0,2,1070.0
1058,Akshaya Nagar,3.0,85.1,3,1662.0
1243,Akshaya Nagar,2.0,75.0,3,1410.0
3021,Akshaya Nagar,3.0,85.0,3,1662.0
3179,Akshaya Nagar,3.0,85.5,3,1662.0
3254,Akshaya Nagar,2.0,60.0,2,1280.0
4235,Akshaya Nagar,2.0,75.0,3,1430.0
4323,Akshaya Nagar,2.0,73.0,3,1419.0
4478,Akshaya Nagar,2.0,60.0,2,1280.0
4647,Akshaya Nagar,2.0,60.0,2,1092.0
4837,Akshaya Nagar,3.0,85.0,3,1690.0
5046,Akshaya Nagar,3.0,80.0,3,1700.0
5048,Akshaya Nagar,4.0,93.0,3,1897.0
5114,Akshaya Nagar,3.0,98.0,3,1884.0
5495,Akshaya Nagar,2.0,68.8,2,1314.0
5572,Akshaya Nagar,3.0,85.0,3,1690.0
5746,Akshaya Nagar,2.0,67.0,2,1265.0
5776,Akshaya Nagar,2.0,55.0,2,1126.0
6215,Akshaya Nagar,3.0,90.0,3,1662.0
6617,Akshaya Nagar,2.0,75.0,3,1420.0
7831,Akshaya Nagar,4.0,100.0,3,1890.0
7955,Akshaya Nagar,3.0,125.0,3,2650.0
8496,Akshaya Nagar,3.0,85.0,3,1690.0
8618,Akshaya Nagar,2.0,52.0,2,1113.0
8753,Akshaya Nagar,4.0,95.0,3,1820.0
10020,Akshaya Nagar,3.0,102.0,3,1896.0
10086,Akshaya Nagar,2.0,66.0,2,1300.0
10218,Akshaya Nagar,2.0,68.0,2,1225.0
10557,Akshaya Nagar,2.0,73.0,3,1421.0
12012,Akshaya Nagar,4.0,95.0,3,1893.0
13003,Akshaya Nagar,2.0,45.0,2,900.0
467,Ambalipura,3.0,110.0,3,1800.0
3052,Ambalipura,2.0,79.0,2,1332.0
4489,Ambalipura,3.0,198.0,3,3500.0
4831,Ambalipura,2.0,66.25,2,1230.0
4939,Ambalipura,2.0,77.0,2,1351.0
5218,Ambalipura,4.0,149.0,4,2550.0
9376,Ambalipura,3.0,102.0,3,1817.0
9430,Ambalipura,2.0,80.0,2,1303.0
9947,Ambalipura,1.0,43.82,1,770.0
11390,Ambalipura,2.0,58.5,2,1060.0
11756,Ambalipura,3.0,100.0,3,1650.0
13116,Ambalipura,2.0,80.0,2,1198.0
932,Ambedkar Nagar,4.0,130.0,3,1935.0
2064,Ambedkar Nagar,2.0,90.0,2,1424.0
2348,Ambedkar Nagar,3.0,120.0,3,1862.0
2703,Ambedkar Nagar,4.0,126.0,3,1936.0
3024,Ambedkar Nagar,3.0,119.0,3,1862.0
3177,Ambedkar Nagar,2.0,90.0,2,1424.0
5052,Ambedkar Nagar,3.0,120.0,3,1856.0
6156,Ambedkar Nagar,3.0,130.0,3,1852.0
7989,Ambedkar Nagar,4.0,120.0,3,1850.0
8115,Ambedkar Nagar,2.0,86.0,2,1367.0
8867,Ambedkar Nagar,2.0,95.0,2,1409.0
8903,Ambedkar Nagar,4.0,120.0,3,1950.0
10144,Ambedkar Nagar,4.0,129.0,3,1921.0
10551,Ambedkar Nagar,4.0,121.0,3,1920.0
10859,Ambedkar Nagar,4.0,125.0,3,1935.0
10924,Ambedkar Nagar,4.0,122.0,3,1852.0
11870,Ambedkar Nagar,4.0,120.0,3,1950.0
12496,Ambedkar Nagar,3.0,125.0,3,1852.0
12733,Ambedkar Nagar,4.0,121.0,3,1850.0
13186,Ambedkar Nagar,2.0,94.0,2,1425.0
13229,Ambedkar Nagar,4.0,150.0,3,2395.0
471,Amruthahalli,2.0,40.0,2,900.0
1273,Amruthahalli,2.0,55.0,2,1200.0
2466,Amruthahalli,2.0,45.0,2,924.0
4324,Amruthahalli,2.0,55.0,2,1200.0
5263,Amruthahalli,2.0,63.0,3,1350.0
8068,Amruthahalli,3.0,77.0,3,1700.0
8384,Amruthahalli,2.0,85.0,3,1450.0
8995,Amruthahalli,2.0,55.0,2,1200.0
9588,Amruthahalli,2.0,50.0,2,1190.0
9906,Amruthahalli,2.0,65.0,2,1202.0
10287,Amruthahalli,2.0,75.0,2,1340.0
144,Anandapura,2.0,43.76,2,1167.0
813,Anandapura,2.0,42.79,2,1141.0
3186,Anandapura,3.0,59.1,3,1576.0
3436,Anandapura,2.0,58.0,2,1200.0
3565,Anandapura,2.0,43.1,2,1151.0
3897,Anandapura,2.0,42.75,2,1141.0
5817,Anandapura,2.0,42.9,2,1151.0
5954,Anandapura,3.0,58.0,3,1576.0
7305,Anandapura,2.0,43.16,2,1151.0
7415,Anandapura,2.0,58.0,2,1200.0
10506,Anandapura,2.0,50.0,2,1200.0
11822,Anandapura,2.0,50.0,2,1141.0
13090,Anandapura,3.0,58.7,3,1576.0
1082,Ananth Nagar,1.0,14.0,1,500.0
1508,Ananth Nagar,2.0,31.5,2,1100.0
2001,Ananth Nagar,2.0,14.0,1,500.0
3946,Ananth Nagar,2.0,26.0,2,908.0
7901,Ananth Nagar,1.0,14.0,1,500.0
8350,Ananth Nagar,2.0,29.7,2,1000.0
8643,Ananth Nagar,2.0,25.99,2,850.0
8692,Ananth Nagar,2.0,25.26,2,902.0
9302,Ananth Nagar,2.0,25.5,2,810.0
9387,Ananth Nagar,2.0,27.0,2,890.0
9448,Ananth Nagar,2.0,36.0,2,1200.0
9679,Ananth Nagar,3.0,37.75,3,1319.0
9687,Ananth Nagar,3.0,42.0,3,1319.0
10232,Ananth Nagar,2.0,25.0,2,902.0
10391,Ananth Nagar,2.0,25.99,2,930.0
10527,Ananth Nagar,1.0,14.0,1,500.0
382,Anekal,1.0,36.0,2,1200.0
744,Anekal,2.0,22.0,2,656.0
1421,Anekal,2.0,22.0,2,620.0
1997,Anekal,1.0,18.0,1,530.0
2186,Anekal,3.0,68.0,3,1800.0
2416,Anekal,1.0,36.0,2,1200.0
2642,Anekal,2.0,38.3,2,1035.0
3679,Anekal,2.0,34.0,2,888.0
4768,Anekal,2.0,36.1,2,1200.0
5632,Anekal,1.0,36.0,2,1200.0
6447,Anekal,2.0,36.0,4,1200.0
6950,Anekal,2.0,28.0,2,766.0
8166,Anekal,1.0,23.5,2,620.0
8621,Anekal,3.0,45.0,3,1150.0
9048,Anekal,1.0,36.0,2,1200.0
9061,Anekal,1.0,36.0,2,1200.0
9312,Anekal,1.0,15.0,1,456.0
9388,Anekal,1.0,36.0,2,1200.0
9917,Anekal,1.0,36.0,2,1200.0
10078,Anekal,4.0,95.0,3,2400.0
10262,Anekal,2.0,36.1,2,1200.0
10500,Anekal,2.0,36.1,2,1200.0
10950,Anekal,1.0,21.0,2,680.0
11932,Anekal,1.0,12.5,1,420.0
2234,Anjanapura,4.0,86.0,4,1850.0
2346,Anjanapura,2.0,39.0,2,1070.0
4808,Anjanapura,2.0,37.0,2,1070.0
5230,Anjanapura,2.0,40.0,2,950.0
5324,Anjanapura,2.0,45.0,3,1280.0
5661,Anjanapura,2.0,25.0,2,710.0
6042,Anjanapura,2.0,37.72,3,1347.0
7599,Anjanapura,2.0,32.0,2,950.0
9545,Anjanapura,4.0,55.0,4,1800.0
9557,Anjanapura,3.0,87.54,3,1843.0
10398,Anjanapura,2.0,30.13,2,1076.0
12545,Anjanapura,2.0,30.0,2,950.0
444,Ardendale,3.0,100.0,3,1750.0
1595,Ardendale,4.0,200.0,4,3198.0
2665,Ardendale,3.0,100.0,3,1750.0
2694,Ardendale,4.0,205.0,4,3200.0
2782,Ardendale,3.0,95.0,3,1728.0
4512,Ardendale,3.0,92.0,3,1732.46
5751,Ardendale,2.0,70.0,2,1224.0
6858,Ardendale,3.0,105.0,3,1777.26
9452,Ardendale,2.0,67.0,2,1224.0
9875,Ardendale,3.0,95.0,3,1723.0
11270,Ardendale,3.0,92.0,3,1777.26
877,Arekere,2.0,95.0,3,1740.0
1853,Arekere,2.0,55.0,2,1190.0
1945,Arekere,1.0,28.0,1,600.0
2613,Arekere,3.0,108.0,3,2072.0
2693,Arekere,2.0,55.0,2,1100.0
6009,Arekere,2.0,50.0,2,900.0
6836,Arekere,6.0,142.0,4,2710.0
8210,Arekere,2.0,60.0,2,1240.0
11807,Arekere,2.0,44.5,2,900.0
171,Attibele,1.0,11.0,1,450.0
265,Attibele,4.0,52.8,4,1600.0
558,Attibele,2.0,25.0,2,656.0
942,Attibele,1.0,11.0,1,400.0
1016,Attibele,1.0,12.0,1,400.0
1510,Attibele,1.0,14.0,1,400.0
1644,Attibele,1.0,17.0,1,500.0
2437,Attibele,1.0,10.25,1,395.0
4513,Attibele,2.0,40.98,3,1639.0
4943,Attibele,1.0,12.0,1,418.0
5260,Attibele,2.0,42.0,2,1200.0
5410,Attibele,1.0,10.0,1,400.0
5698,Attibele,1.0,25.0,2,695.0
5704,Attibele,1.0,25.0,2,850.0
7048,Attibele,1.0,12.5,1,450.0
7629,Attibele,1.0,24.88,2,995.0
7676,Attibele,1.0,25.0,2,900.0
8010,Attibele,2.0,29.35,2,1174.0
8122,Attibele,1.0,19.55,1,782.0
8270,Attibele,2.0,29.38,2,1175.0
8429,Attibele,2.0,25.0,2,656.0
8430,Attibele,1.0,11.5,1,400.0
8527,Attibele,1.0,13.0,1,460.0
8725,Attibele,2.0,11.5,1,418.0
10397,Attibele,2.0,24.9,2,996.0
11091,Attibele,1.0,10.0,1,410.0
11710,Attibele,3.0,65.0,3,1700.0
11945,Attibele,1.0,10.25,1,400.0
12288,Attibele,2.0,25.0,2,656.0
13220,Attibele,1.0,15.0,1,520.0
967,BEML Layout,2.0,55.0,2,1060.0
1228,BEML Layout,3.0,85.0,3,2000.0
1369,BEML Layout,2.0,45.0,2,999.0
4428,BEML Layout,2.0,85.0,3,2000.0
6220,BEML Layout,2.0,65.0,2,1194.0
6825,BEML Layout,2.0,67.0,2,1200.0
11978,BEML Layout,3.0,85.0,3,2000.0
12066,BEML Layout,3.0,85.0,3,2000.0
12872,BEML Layout,2.0,65.0,2,1194.0
2087,BTM 2nd Stage,2.0,52.0,2,950.0
2735,BTM 2nd Stage,3.0,170.0,3,1850.0
2784,BTM 2nd Stage,2.0,80.0,2,1200.0
2871,BTM 2nd Stage,2.0,70.0,2,1274.0
4682,BTM 2nd Stage,2.0,48.0,2,1070.0
5073,BTM 2nd Stage,2.0,80.0,2,1280.0
5170,BTM 2nd Stage,2.0,70.0,2,1100.0
5761,BTM 2nd Stage,2.0,58.0,2,1000.0
7414,BTM 2nd Stage,2.0,55.0,2,1265.0
7538,BTM 2nd Stage,3.0,220.0,3,2200.0
8412,BTM 2nd Stage,2.0,56.0,2,965.0
9051,BTM 2nd Stage,2.0,75.0,2,1147.0
11209,BTM 2nd Stage,3.0,172.0,3,1750.0
11552,BTM 2nd Stage,2.0,90.0,2,1400.0
11755,BTM 2nd Stage,2.0,70.0,2,1200.0
12207,BTM 2nd Stage,2.0,47.0,2,1100.0
12547,BTM 2nd Stage,2.0,46.0,2,930.0
12690,BTM 2nd Stage,2.0,55.0,3,1265.0
1916,BTM Layout,2.0,63.0,2,1150.0
4440,BTM Layout,6.0,165.0,6,3300.0
5317,BTM Layout,2.0,81.0,3,1450.0
6210,BTM Layout,3.0,79.0,3,1458.0
6317,BTM Layout,2.0,51.5,2,935.0
6529,BTM Layout,2.0,46.5,2,1020.0
7532,BTM Layout,2.0,75.0,3,1300.0
7987,BTM Layout,2.0,78.0,3,1540.0
12140,BTM Layout,2.0,56.81,2,1196.0
1413,Babusapalaya,2.0,41.39,3,1213.0
1416,Babusapalaya,2.0,66.0,3,1611.0
1817,Babusapalaya,2.0,39.98,3,1167.0
3355,Babusapalaya,2.0,46.0,2,1141.0
3581,Babusapalaya,2.0,57.0,2,1500.0
4101,Babusapalaya,2.0,45.9,2,1141.0
6212,Babusapalaya,2.0,40.0,2,1105.0
8203,Babusapalaya,2.0,55.99,2,1450.0
9307,Babusapalaya,2.0,38.0,2,1100.0
10432,Babusapalaya,2.0,38.95,2,1061.0
1841,Badavala Nagar,2.0,94.55,3,1494.0
5025,Badavala Nagar,2.0,94.55,3,1494.0
7653,Badavala Nagar,2.0,94.55,3,1494.0
1316,Balagere,2.0,72.0,2,1210.0
1629,Balagere,2.0,78.5,2,1205.0
2524,Balagere,2.0,65.0,2,1145.0
4107,Balagere,2.0,65.0,2,1007.0
4922,Balagere,2.0,70.0,2,1205.0
5229,Balagere,2.0,74.0,2,1210.0
5566,Balagere,1.0,45.0,1,675.0
5791,Balagere,1.0,43.0,1,656.0
6512,Balagere,2.0,64.0,2,1012.0
7044,Balagere,2.0,62.0,2,1007.0
7559,Balagere,2.0,67.0,2,1007.0
7725,Balagere,2.0,66.0,2,1007.0
9268,Balagere,2.0,69.0,2,1210.0
9333,Balagere,2.0,65.0,2,1012.0
9363,Balagere,1.0,38.77,1,656.0
9371,Balagere,1.0,39.0,1,645.0
9509,Balagere,1.0,41.0,1,645.0
10444,Balagere,2.0,73.87,2,1205.0
12107,Balagere,2.0,67.0,2,1205.0
12154,Balagere,2.0,79.0,2,1205.0
1081,Banashankari,2.0,88.64,3,1470.0
1193,Banashankari,2.0,75.0,3,1300.0
1986,Banashankari,3.0,115.0,3,1800.0
2195,Banashankari,2.0,63.0,2,1125.0
2343,Banashankari,2.0,80.0,2,1310.0
2951,Banashankari,4.0,135.0,3,2600.0
3016,Banashankari,2.0,75.0,2,1260.0
3369,Banashankari,2.0,83.0,3,1350.0
3845,Banashankari,2.0,78.0,2,1330.0
4188,Banashankari,2.0,78.0,3,1400.0
5555,Banashankari,2.0,86.0,2,1390.0
5571,Banashankari,2.0,70.0,2,1460.0
5705,Banashankari,2.0,60.0,2,1200.0
5764,Banashankari,2.0,80.0,2,1290.0
6407,Banashankari,2.0,65.0,2,1186.0
6414,Banashankari,3.0,101.0,3,1650.0
6464,Banashankari,2.0,55.0,3,1300.0
6721,Banashankari,2.0,75.0,2,1181.0
7300,Banashankari,2.0,45.0,2,1040.0
8061,Banashankari,2.0,77.0,2,1330.0
8085,Banashankari,2.0,49.0,2,1200.0
8232,Banashankari,2.0,67.0,2,1185.0
8440,Banashankari,2.0,50.0,2,1000.0
8453,Banashankari,3.0,90.75,3,1650.0
8551,Banashankari,3.0,101.0,3,1650.0
8795,Banashankari,2.0,80.43,2,1310.0
9247,Banashankari,1.0,27.0,2,600.0
9496,Banashankari,2.0,87.8,2,1430.0
9604,Banashankari,2.0,42.83,2,1020.0
9739,Banashankari,3.0,80.0,3,1540.0
10053,Banashankari,2.0,89.0,3,1750.0
10714,Banashankari,3.0,108.0,3,1770.0
11399,Banashankari,3.0,66.0,3,1420.0
11478,Banashankari,3.0,74.52,3,1200.0
11664,Banashankari,2.0,63.0,2,1100.0
12019,Banashankari,2.0,75.0,2,1260.0
12810,Banashankari,3.0,85.0,3,1426.0
1423,Banashankari Stage II,2.0,150.0,2,1700.0
1770,Banashankari Stage II,2.0,150.0,4,1200.0
4374,Banashankari Stage II,2.0,120.0,3,1500.0
8145,Banashankari Stage II,2.0,110.0,2,1250.0
8466,Banashankari Stage II,2.0,95.0,3,1260.0
8860,Banashankari Stage II,2.0,300.0,3,2400.0
10054,Banashankari Stage II,2.0,100.0,2,1400.0
10178,Banashankari Stage II,3.0,425.0,5,2800.0
10237,Banashankari Stage II,3.0,450.0,3,3000.0
12883,Banashankari Stage II,2.0,125.0,2,1245.0
575,Banashankari Stage III,2.0,58.7,3,1305.0
1411,Banashankari Stage III,2.0,58.4,2,1145.0
1959,Banashankari Stage III,3.0,118.0,3,1650.0
3309,Banashankari Stage III,2.0,68.0,3,1350.0
3891,Banashankari Stage III,4.0,100.0,4,2000.0
4152,Banashankari Stage III,2.0,59.0,3,1305.0
4506,Banashankari Stage III,2.0,60.0,3,1305.0
5608,Banashankari Stage III,2.0,59.0,3,1305.0
6884,Banashankari Stage III,3.0,75.48,3,1480.0
7506,Banashankari Stage III,2.0,59.0,3,1305.0
9418,Banashankari Stage III,6.0,150.0,6,3000.0
